episode,length,step
632,283,453410
633,180,454410
634,333,454503
635,209,455503
636,188,455631
637,163,455965
638,1000,456341
639,207,457341
640,153,458341
641,254,458470
642,150,459470
643,196,460470
644,176,461093
645,163,462093
646,195,463093
647,627,464093
648,521,465093
649,1000,466093
650,310,467093
651,639,468093
652,519,469093
653,192,469205
654,402,470205
655,895,471205
656,610,472205
657,220,473205
658,1000,474205
659,1000,475205
660,226,476205
661,175,477205
662,338,478205
663,217,479205
664,211,480205
665,229,481205
666,224,481321
667,234,482321
668,236,483321
669,371,484321
670,222,485321
671,179,486321
672,193,487321
673,243,488321
674,208,489321
675,446,490321
676,1000,491321
677,1000,492321
678,189,492608
679,203,493608
680,605,494608
681,198,495608
682,261,496608
683,302,497608
684,354,498608
685,527,499608
686,238,500608
687,211,501608
688,197,502608
689,777,503608
690,265,504608
691,209,505608
692,857,506608
693,281,506933
694,211,507933
695,254,508933
696,328,509933
697,285,510933
698,298,511933
699,611,512933
700,197,513933
701,251,514933
702,415,515933
703,373,516933
704,258,517176
705,364,517454
706,206,518454
707,258,519454
708,276,520454
709,242,521454
710,1000,522454
711,332,523454
712,322,524373
713,286,525373
714,403,526373
715,502,527373
716,248,528373
717,184,528460
718,249,529460
719,459,530460
720,421,531460
721,223,532008
722,795,533008
723,470,534008
724,506,535008
725,1000,536008
726,372,536120
727,266,537120
728,686,538120
729,175,539120
730,257,539250
731,207,540250
732,380,541250
733,492,542250
734,497,543250
735,1000,544250
736,262,545250
737,263,546250
738,245,547250
739,229,547355
740,248,547444
741,246,547563
742,175,547674
743,240,547777
744,231,547875
745,169,548875
746,343,548967
747,339,549967
748,150,550967
749,536,551967
750,754,552967
751,339,553967
752,378,554967
753,508,555084
754,328,556084
755,286,557084
756,609,558084
757,1000,558210
758,346,559210
759,510,560210
760,453,561210
761,1000,562210
762,1000,563210
763,449,564210
764,191,564324
765,909,564551
766,418,565217
767,1000,565315
768,307,566315
769,289,566834
770,264,567834
771,207,568834
772,312,569834
773,1000,570834
